24	6	E031	Пополнение невозможно. Ранее приобретенные билеты не записаны на карту, необходимо произвести запись.	3 - проблемы с транзакциями	24, 6, E031	"По введенному Вами номеру карты «Тройка» в системе обнаружены незаписанные пополнения. Повторное пополнение карты «Тройка» невозможно при наличии незаписанных пополнений. Пожалуйста, запишите предыдущие пополнения с помощью желтого информационного терминала Метрополитена. При возникновении проблем обратитесь в сервисный центр «Московский транспорт» 8 (495) 539 54 54 или службу техподдержки АГ с кодом: С,D,M"	UNWRITTEN_TICKETS_LIMIT 	Осуществляется попытка пополнить с отложенной записью, но уже есть предельное для данного носителя количество ожидающих записи предыдущих пополнений данного ЭБ.	Проинформировать Пассажира, что вначале ЭБ должны быть записаны на Носитель.	Пополнение невозможно. Ранее приобретенные билеты не записаны на карту, необходимо произвести запись.
24	120	-	Операция отклонена эмитентом	4 - прочие ошибки (повторить позже)	24, 120	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
24	116	-	Недостаточно средств	3.1 - деньги	24, 116	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Пожалуйста, обратитесь  в техподдержку АГ " (код для обращения в техподдержку С,D,M)				
24	121	-	Превышена допустимая сумма операции	3.2 - суточный лимит	24, 121	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос завтра. " (код для обращения в техподдержку С,D,M)				
24	998	-	Превышено допустимое количество операций	4 - прочие ошибки (повторить позже)	24, 998	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
24	100	-	Превышен лимит по сумме разовой операции	4 - прочие ошибки (повторить позже)	24, 100	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
24	200	-	Превышен лимит по количеству операций в день	4 - прочие ошибки (повторить позже)	24, 200	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
24	300	-	Превышен лимит по сумме операций в месяц	4 - прочие ошибки (повторить позже)	24, 300	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
24	400	-	Превышен лимит по количеству операций в месяц	4 - прочие ошибки (повторить позже)	24, 400	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
24	500	-	Эмитент не поддерживается	4 - прочие ошибки (повторить позже)	24, 500	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
24	600	-	Превышен лимит по сумме операций в день	4 - прочие ошибки (повторить позже)	24, 600	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
24	700	-	Невозможно провести операцию. Ограничение по неснижаемому остатку.	4 - прочие ошибки (повторить позже)	24, 700	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
28	-	-	Некорректный идентификатор биндинга	4 - прочие ошибки (повторить позже)	28	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
30	-	-	Неверный формат номера карты	4 - прочие ошибки (повторить позже)	30	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
32	-	-	Неверный формат месяца и года действия карты	4 - прочие ошибки (повторить позже)	32	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
34	-	-	Неверный формат CVC-кода	4 - прочие ошибки (повторить позже)	34	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
35	-	-	Имя держателя не содержит данных	4 - прочие ошибки (повторить позже)	35	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
36	-	-	Неверный формат имени держателя	4 - прочие ошибки (повторить позже)	36	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
45	-	-	Некорректный идентификатор поставщика	4 - прочие ошибки (повторить позже)	45	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
47	-	-	Некорректный формат параметров поставщика	4 - прочие ошибки (повторить позже)	47	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)				
